Стаття (Джерело),Комерційна сторінка (Куди веде),Анкор (Ключове слово),Контекст (Де вставити),Повний абзац
https://barbashyn.law/statti/blog-shtuchnyy-intelekt-ta-intelektualna-vlasnist/,https://barbashyn.law/praktiki/intelektualna-vlasnist/tm-registration-in-ukraine/,зареєструвати торговельну марку,"...Чи можна зареєструвати торговельну марку на логотип, створений AI?...","Чи можна зареєструвати торговельну марку на логотип, створений AI?"
https://barbashyn.law/statti/blog-shtuchnyy-intelekt-ta-intelektualna-vlasnist/,https://barbashyn.law/praktiki/ai-i-pravo/,ai act,...Як регулює ці питання AI Act Європейського Союзу?...,Як регулює ці питання AI Act Європейського Союзу?
https://barbashyn.law/statti/data-protection-policies-and-user-agreements-the-legal-perspective/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,"...ва України або міжнародних регламентів (наприклад GDPR), для тих хто має іноземних клієнтів може призвес...","Належне управління персональними даними клієнтів, контрагентів і співробітників є не лише юридичною вимогою, а й ключовим фактором довіри та репутації. Недотримання норм чинного законодавства України або міжнародних регламентів (наприклад GDPR), для тих хто має іноземних клієнтів може призвести до високих штрафів, судових претензій і репутаційних втрат."
https://barbashyn.law/statti/obtaining-a-temporary-residence-permit-on-the-basis-of-employment-and-the-conclusion-of-a-gig-contract/,https://barbashyn.law/praktiki/it-startups/,дія сіті,"...авовий договір між гіг-спеціалістом та резидентом Дія Сіті. Нагадаємо, що з 2021 року в Україні діє спеціаль...","Гіг-контракт – це цивільно-правовий договір між гіг-спеціалістом та резидентом Дія Сіті. Нагадаємо, що з 2021 року в Україні діє спеціальний режим Дія Сіті, резиденти якого можуть залучати іноземних фахівців у сфері ІТ на особливих умовах."
https://barbashyn.law/statti/do-1-travnya-2026-roku-podatkovi-rezydenty-ukrayiny-povynni-podaty-zvity-pro-kik/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,...нтрольованої іноземної компанії (далі по тексту – КІК)...,"Нагадаємо, що обов’язок подати звіт поширюється на фізичних та юридичних осіб – резидентів України, що є прямими або опосередкованими власниками (контролерами) контрольованої іноземної компанії (далі по тексту – КІК)"
https://barbashyn.law/statti/itc-on-determining-the-status-of-a-tax-resident/,https://barbashyn.law/praktiki/biznes-pravo/tax-residency/,статус податкового резидента,"...У разі необхідності визначити статус податкового резидента, радимо розглянути можливість звернення до податк...","У разі необхідності визначити статус податкового резидента, радимо розглянути можливість звернення до податкового органу для отримання ІПК."
https://barbashyn.law/statti/how-to-obtain-ifci-nhr-2-0-status-in-portugal/,https://barbashyn.law/praktiki/biznes-pravo/tax-residency/,податкове резидентство,"...ання за певних умов. Режим доступний тим, хто має податкове резидентство в Португалії, відповідну кваліфікацію та працює в...","Після скасування податкового режиму NHR у Португалії запроваджено нову систему Incentivo Fiscal à Investigação Científica e Inovação (IFICI), або, як її ще називають, NHR 2.0. Вона передбачає фіксовану ставку IRS у 20% і звільнення більшості іноземних прибутків від оподаткування за певних умов. Режим доступний тим, хто має податкове резидентство в Португалії, відповідну кваліфікацію та працює в компанії, що відповідає вимогам IFICI. Щоб отримати статус, потрібно пройти процедуру step by step і надалі постійно дотримуватись умов, передбачених режимом."
https://barbashyn.law/statti/have-you-adapted-your-business-to-the-eu-ai-code-lets-examine-the-details/,https://barbashyn.law/praktiki/ai-i-pravo/,ai act,... відповідності вимогам Регламенту (ЄС) 2024/1689 (AI Act)....,"10 липня 2025 року Європейська комісія опублікувала перший Кодекс практики для моделей штучного інтелекту загального призначення (General-Purpose AI, GPAI). Він має добровільний характер, але фактично стане головним інструментом для демонстрації відповідності вимогам Регламенту (ЄС) 2024/1689 (AI Act)."
https://barbashyn.law/statti/partnership-with-the-european-young-bar-association-eyba/,https://barbashyn.law/praktiki/ai-i-pravo/,штучний інтелект,"... присвячений викликам та можливостям, які створює штучний інтелект....","Восени у Лондоні як Immediate Past President, Сергій Барбашин продовжив роботу у борді асоціації, беручи участь у підбитті підсумків та обговоренні майбутніх напрямів розвитку. Він особливо відзначив рік свого президентства як період важливих ініціатив, що сприяли зміцненню співпраці між членами EYBA. Під час академічної частини конференції обговорювалися питання права й кліматичних дій, захисту прав людини, а також відбувся актуальний Ranking and Recognition Workshop 3.0, присвячений викликам та можливостям, які створює штучний інтелект."
https://barbashyn.law/statti/advantages-of-the-usa-for-it-business-registration/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,"...вимоги до нерезидентів, substane, nexus, правилам КІК і майбутні цілі бізнесу хоча б на наступні 2-3 ро...","Різні типи компаній та велика кількість штатів точно дозволить обрати кращий варіант, але ми радимо підходити до вибору більш стратегічно, де потрібно одразу розуміти особливості конкретного штату, податкові аспекти, вимоги до нерезидентів, substane, nexus, правилам КІК і майбутні цілі бізнесу хоча б на наступні 2-3 роки."
https://barbashyn.law/statti/sui-generis-how-ai-generated-works-are-protected-in-ukraine-and-beyond/,https://barbashyn.law/praktiki/ai-i-pravo/,штучний інтелект,"...За прогнозами Goldman Sachs, штучний інтелект може забезпечити приріст глобального ВВП на рівні...","За прогнозами Goldman Sachs, штучний інтелект може забезпечити приріст глобального ВВП на рівні 7% до 2030 року (орієнтовно 7 трильйонів доларів США), що підкреслює економічну значущість та необхідність належного правового регулювання і захисту об’єктів, створених із застосуванням генеративних ШІ-технологій."
https://barbashyn.law/statti/partnership-with-aiei-ai-ethics-and-integrity-international-association/,https://barbashyn.law/praktiki/ai-i-pravo/,штучний інтелект,"...им, що стали частиною глобального руху за етичний штучний інтелект. Партнерство з AIEI – це наш внесок у створення м...","Ми пишаємося тим, що стали частиною глобального руху за етичний штучний інтелект. Партнерство з AIEI – це наш внесок у створення майбутнього, де технології служать суспільству, а інновації розвиваються у межах правової та етичної відповідальності."
https://barbashyn.law/statti/the-general-purpose-ai-code-of-practice/,https://barbashyn.law/praktiki/ai-i-pravo/,штучний інтелект,...о практичного застосування положень Закону ЄС про штучний інтелект (AI Act). Документ містить конкретні рекомендації...,"У липні 2025 року Європейська Комісія завершила розробку Кодексу поведінки щодо загального штучного інтелекту (General-Purpose AI Code of Practice) – першого у своєму роді добровільного документа, який встановлює стандарти відповідального використання систем ШІ загального призначення, таких як ChatGPT, Gemini чи Claude. Цей Кодекс став логічним кроком на шляху до практичного застосування положень Закону ЄС про штучний інтелект (AI Act). Документ містить конкретні рекомендації щодо прозорості, дотримання авторських прав та безпеки при роботі з високоризиковими ШІ-моделями, і має на меті допомогти компаніям краще орієнтуватися в нових регуляторних вимогах."
https://barbashyn.law/statti/the-general-purpose-ai-code-of-practice/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,"...давства про захист персональних даних (наприклад, GDPR). Для цього компанії повинні використовувати інст...","Компанії, які розробляють моделі ШІ, зобов’язані надавати вичерпну інформацію про дані, що використані для їхнього навчання. Це включає детальний опис джерел даних, методів їх збору та обробки. Особлива увага приділяється зменшенню ризиків упередженості (bias) у моделях, що може призводити до дискримінаційних результатів. Кодекс вимагає впровадження механізмів для виявлення та фільтрації неприйнятного контенту, такого як матеріали, що містять дані, отримані з порушенням законодавства про захист персональних даних (наприклад, GDPR). Для цього компанії повинні використовувати інструменти автоматичної модерації, аналізу даних і документувати свої підходи, щоб забезпечити відтворюваність і перевірку."
https://barbashyn.law/statti/pidhody-do-mizhnarodnogo-zahystu-brendu/,https://barbashyn.law/praktiki/intelektualna-vlasnist/tm-registration-in-the-usa/,торговельна марка в сша,"...нкретну територію реєстрації. Наприклад, захищена торговельна марка в США – не має захисту у Швейцарії або ЄС. Використання...","Охорона торговельної марки поширюється тільки на конкретну територію реєстрації. Наприклад, захищена торговельна марка в США – не має захисту у Швейцарії або ЄС. Використання знаку без реєстрації не заборонено, але наявні ризики реєстрації іншими особами чи конкурентами. Результатом може бути заборона використання вашого ж бренду чи неможливості наступного просування (на сайті, товарах тощо)."
https://barbashyn.law/statti/pidhody-do-mizhnarodnogo-zahystu-brendu/,https://barbashyn.law/praktiki/intelektualna-vlasnist/tm-registration-in-ukraine/,зареєструвати торговельну марку,"...лена, які представляють 119 країн. Це означає, що зареєструвати торговельну марку у всіх 119-ти державах можна шляхом подання одніє...","Міжнародна реєстрація торговельної марки у декількох країнах здійснюється за спрощеною процедурою. Суть процесу – подається одна міжнародна заявка та вказуються усі країни, де необхідно отримати захист. До Мадридської системи входить 103 члена, які представляють 119 країн. Це означає, що зареєструвати торговельну марку у всіх 119-ти державах можна шляхом подання однієї заявки до Міжнародного бюро Всесвітньої організації з інтелектуальної власності."
https://barbashyn.law/statti/kompaniya-hermes-stvoryla-pretsedent-zahystu-prav-iv-proty-tvortsiv-nft/,https://barbashyn.law/praktiki/blockchain-crypto/,блокчейн,"...тет творців. Попри це, NFT назавжди залишаються в блокчейні, і потенційно до них можна отримати доступ через...","Так і зі своєї сторони централізовані торгові платформи по типу OpenSea, на яких продають NFT, зі своєї сторони нарощують власні системи захисту, щоб автоматично блокувати ймовірних порушників та збільшувати авторитет творців. Попри це, NFT назавжди залишаються в блокчейні, і потенційно до них можна отримати доступ через інші торгові майданчики."
https://barbashyn.law/statti/kik-shho-robyty-vlasnykam-inozemnyh-kompanij-u-2023-rotsi/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,"...Якщо стисло – на вас можуть діяти правила КІК, або правила контрольованих іноземних компаній. Т...","Якщо стисло – на вас можуть діяти правила КІК, або правила контрольованих іноземних компаній. Тобто, виникає обовʼязок повідомляти про створення іноземних компаній, щорічно подавати звітність та сплачувати податки чи застосовувати умови звільнення від сплати податків. У разі невиконання таких дій передбачена відповідальність, наприклад, штраф 744 300 грн. за неподання повідомлення чи 248 100 грн. за неподання звітів (штрафи у розмірі станом на 2022 рік)."
https://barbashyn.law/statti/yak-obraty-krayinu-dlya-relokatsiyi-biznesu/,https://barbashyn.law/praktiki/biznes-pravo/tax-residency/,податкове резидентство,...иплату дивідендів. Який дохід власників компанії. Податкове резидентство. В якій країні декларувати доходи та сплачувати п...,"Дивіденди. Яким чином виплачуються дивіденди (періодичність, розмір, вимоги), яка ставка податку на виплату дивідендів. Який дохід власників компанії. Податкове резидентство. В якій країні декларувати доходи та сплачувати податки."
https://barbashyn.law/statti/yak-obraty-krayinu-dlya-relokatsiyi-biznesu/,https://barbashyn.law/praktiki/blockchain-crypto/,криптовалют,...Криптовалюта. У більшості країн діяльність у сфері криптовалю...,"Криптовалюта. У більшості країн діяльність у сфері криптовалюти неврегульована. Але є лояльні країни, де можливо отримати дозвіл чи ліцензію на діяльність. Інші критерії. Географічна близькість до України, розвинута інфраструктура, логістика, ділові зв’язки, доступ до кредитування, звільнення від подвійного оподаткування тощо. Перелік критерії не є вичерпним. Ми зупинилися на найбільш важливих для прийняття рішення у виборі країни для ведення бізнесу."
https://barbashyn.law/statti/top-5-prychyn-vidkryty-it-biznes-v-ukrayini/,https://barbashyn.law/praktiki/it-startups/,дія сіті,"...В Україні запроваджено спеціальний режим Дія Сіті, який надає особливі умови для діяльності компані...","В Україні запроваджено спеціальний режим Дія Сіті, який надає особливі умови для діяльності компаній ІТ-бізнесу."
https://barbashyn.law/statti/de-platyty-podatky-yakshho-zhyvesh-na-dvi-krayiny/,https://barbashyn.law/praktiki/biznes-pravo/controlled-foreign-company-cfc/,кік,"...ування дивідендів. Наприклад, в Україні – правила КІК та доплати податку на іноземні дивіденди, у Порту...","Країни можуть мати додаткові вимоги до оподаткування дивідендів. Наприклад, в Україні – правила КІК та доплати податку на іноземні дивіденди, у Португалії – спеціальний режим NHR дозволяє уникати доплати на дивіденди тощо."
https://barbashyn.law/statti/nft-yurydychni-nyuansy-prostoyu-movoyu/,https://barbashyn.law/praktiki/blockchain-crypto/,блокчейн,...тора та покупців твору є відкритою та міститься у блокчейні. Створюється NFT шляхом розміщення картинки чи а...,"Абревіатура NFT розшифровується як non-fungible token та означає невзаємозамінний токен. Особливість такого токену полягає у тому, що він засвідчує оригінальність цифрового твору та дає можливість зафіксувати права авторів у цифровому середовищі. Інформація про автора та покупців твору є відкритою та міститься у блокчейні. Створюється NFT шляхом розміщення картинки чи аудіофайлу на спеціальних платформах, таких як Opensea, Rarrible, Yellow Heart, Nifty Gateway тощо. Придбати NFT можна на тих же платформах."
https://barbashyn.law/statti/zahyst-brendu-u-nft-ta-blokchejn-sferah/,https://barbashyn.law/praktiki/blockchain-crypto/,криптовалют,...ма «надання онлайн-ринку для покупців і продавців криптовалютних предметів колекціонування» (5797815)....,"Так, Opensea, один з найбільших ринків NFT в США, зареєстрував свою ТМ у 35 класі послуг, зокрема «надання онлайн-ринку для покупців і продавців криптовалютних предметів колекціонування» (5797815)."
https://barbashyn.law/statti/koly-ochikuvaty-5-podatku-na-operatsiyi-z-kryptoaktyvamy-v-ukrayini/,https://barbashyn.law/praktiki/blockchain-crypto/,віртуальні активи,"...17 лютого 2022 Верховна Рада ухвалила зaкoн «Про віртуальні активи», який встановлює правила регулювання операцій з ...","17 лютого 2022 Верховна Рада ухвалила зaкoн «Про віртуальні активи», який встановлює правила регулювання операцій з крипто активами в Україні. Закон не набув чинності 1 жовтня 2022 у зв’язку з тим, що спершу необхідно внести зміни до Податкового кодексу України, відповідно до п. 1 розділу VI Закону України “Про віртуальні активи”."
https://barbashyn.law/statti/zahyst-personalnyh-danyh-ta-gdpr-dlya-biznesu/,https://barbashyn.law/zahyst-personalnyh-danyh-ta-data-privacy-dlya-biznesu/,gdpr,"...о створено General Data Protection Regulation або GDPR, який на цей час вважають одним з найсуворіших за...","Збільшення кількості користувачів, інтернет-ресурсів та застарілі норми законодавства викликали необхідність розробити юридичні стандарти у сфері обробки та захисту персональних даних. Зокрема в ЄС було створено General Data Protection Regulation або GDPR, який на цей час вважають одним з найсуворіших законів про конфіденційність. Не дивлячись на те, що регламент розроблений в рамках ЄС він має “екстратериторіальний ефект”, оскільки поширюється на діяльність будь-яких компаній, які збирають або ж передають персональні дані користувачів в ЄС."
